"6","Pelatihan Pendampingan Psikososial Penderita HIV/AIDS","Tanggal pelaksanaan disesuaikan dengan kebutuhan lembaga mitra AKPI yang berminat melaksanakan pelatihan ini. AKPI bersedia bermitra dengan lembaga lain yang berminat untuk melakukan ceramah, kuliah, seminar, lokakarya, dan pelatihan pendampingan psikososial orang yang terinfeksi HIV/AIDS.","gn9wqlxoTSW.Array","2018-12-31 00:00:00"
"7","Pelatihan Pendampingan Orang Sakit","Jadual disesuaikan dengan kebutuhan mitra AKPI yang menyelenggarakan pelatihan ini. Bermitra dengan PPY Yogyakarta, tenaga ahli AKPI melaksan akan pelatihan ini pada 3 - 5 Mei 2019 dan 4 - 6 Oktober 2019. Disamping itu AKPI bersedia bermitra dengan lembaga lain yang berminat untuk melakukan ceramah, kuliah, seminar, lokakarya, dan pelatihan pendampingan orang sakit.","6Y5Wdixma1x.Array","2018-12-31 00:00:00"
"8","Pelatihan Pendampingan Orang Trauma (Luka Batin)","Jadual pelatihan disesuaikan dengan kebutuhan lembaga mitra AKPI yang akan melakanakan pelatihan ini. AKPI siap bermitra dengan lembaga lain yang berminat untuk menyelenggarakan kuliah umum, seminar, lokakarya, dan pelatihan Menangani Trauma atau Luka Batin.","vUs1VgR3W8R.Array","2018-12-31 00:00:00"
"9","Pelatihan Pendampingan Pasien Terminal.","AKPI bersedia bermitra dengan lembaga lain yang berminat untuk melakukan ceramah, kuliah, seminar, lokakarya, dan pelatihan pendampingan pasien terminal dan/atau berkaitan dengan holistic palliative care..","GqJ0PtW2ufq.Array","2018-12-31 00:00:00"
"10","Pelatihan Pendampingan Orang Berduka","AKPI bersedia bermitra dengan lembaga lain yang berminat untuk melakukan ceramah, kuliah, seminar, lokakarya, dan pelatihan pendampingan orang berduka. Tenaga ahli AKPI bermitra dengan PPY Yogyakarta melaksanakan pelatihan ini pada tanggal 1 - 3 Maret 2019 dan 1 - 3 November 2019.","i436Gok3c9P.Array","2018-12-31 00:00:00"
"11","Pastoral Counselor Formation (PCF)","Pastoral Counselor Formation (PCF) merupakan program perintisan profesi konselor pastoral dan program unggulan AKPI. AKPI telah melaksaakan 12 Amgkatan PCF dan konselor AKPI telah tersebar di seluruh wilayah Nusantara dan melayani konseling di berbagai setting kehidupan. AKPI bermitra dengan PPY Yogyakarta akan menyelenggarakan PCF Angkatan 14 pada tanggal 19 - 30 Agustus 2019 di Wisma OMI Yogyakarta dan bermitra dengan STD HKBP Balige menyelenggarakan PCF Angkatan 13 di STD HKBP Balige khusus bagi mahasiswa STD HKBP Balige. ","qbDoa643RFb.Array","2018-12-31 00:00:00"
"18","Pastoral Counselor Formation (PCF) Angkatan 14","PCF merupakan pendidikan profesi konselor pastoral (psikospiritual) yang terdiri atas 2 kegiatan, yakni Kuliah Intensif yang dilaksabakan dari 19 - 30 Agustus 2019. Bagi yang ingin meneruskan menjadi konselor pastoral peserta harus melakukan praktik selama 6 - 11 bulan untuk melakukan paling tidak 400 jam konseling tersupervisi. Setelah mencapai praktikum 400 jam peserta harus melakukan ""Interdisplinary Case Study"" - ""Studi Kasus Interdisipliner"".  Apabila memenuhi persyaratan  peserta akan dikukuhkan sebagai konselor pastoral AKPI.  Selama praktikum peserta harus menulis 5 proses perjumpaan dan 5 kasus konseling serta mengikuti pertemuan paling tidak 2 kali sambil mengikuti pelatihan konseling tertentu.","bxH9dytW05N.Array","2019-08-19 00:00:00"
